Plot ID,PPW1320,,,,Sampler(s),"MFO,MNB,APW",,,Date ,20130501Notes,,,,,,,,,,Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,C4,PSEMEN,,,3,,,,,,C4,FRACAL,1,,1,,,,,,C4,UMBCAL,,,,,,,,,D4,PSEMEN,1,,12,,,,,,D4,UMBCAL,,,5,,,,,,D4,QUEAGR,,,1,,,,,,D4,FRACAL,,,1,,,,,,D3,HETARB,,,2,,,,,,D3,PSEMEN,,,3,,,,,,D3,UMBCAL,,,2,,,,,,D3,QUEAGKE,,,1,,,CHASE OAK?,,,D2,PSEMEN,5,,1,,,,,,D2,QUEAGR,,,1,,,,,,D2,UMBCAL,,,1,,,,,,D1,UMBCAL,1,,1,,,,,,D1,PSEMEN,,,2,,,,,,D1,FRACAL,,,2,,,,,,A1,UMBCAL,,,1,,,,,,A1,FRACAL,5,,2,,,,,,A1,QUEAGR,,,1,,,,,,A2,PSEMEN,,,1,,,,,,A2,UMBCAL,,,2,,,,,,A2,QUEAGR,,,3,,,,,,A3,FRACAL,,,3,,,,,,A3,UMBCAL,,,3,,,,,,A4,FRACAL,,,2,,,,,,B4,FRACAL,,,1,,,,,,B4,UMBCAL,,,1,,,,,,B3,UMBCAL,,,2,,,,,,B3,FRACAL,,,6,,,,,,B3,PSEMEN,,,3,,,,,,B2,FRACAL,,,1,,,,,,B2,PSEMEN,,,3,,,,,,B2,UMBCAL,,,1,,,,,,B1,UMBCAL,,,2,,,,,,B1,HETARB,,,1,,,,,,C1,UMBCAL,,,7,,,,,,C1,PSEMEN,,,3,,,,,,C1,FRACAL,,,1,,,,,,C2,PSEMEN,1,,2,,,,,,C2,UMBCAL,1,,3,,,,,,C2,FRACAL,,,1,,,,,,C2,QUEAGR,,,2,,,,,,C2,HETARB,,,1,,,,,,C3,PSEMEN,,,5,,,,,,C3,HETARB,,,1,,,,,,C3,UMBCAL,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,