Plot ID,   PPW1321,,,,Sampler(s),"MK,MO,AC,KO",,,Date ,20180726
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,0,,1,,0,,,,
D1,FRACAL,1,,3,,0,,,,
D1,AMOCAL,0,,1,,0,,,,
C1,FRACAL,0,,6,,0,,,,
C1,QUEGAR,0,,3,,0,,,,
C1,UMBCAL,0,,1,,0,,,,
D2,UMBCAL,1,,4,,0,,,,
D2,AMOCAL,0,,2,,0,,,,
D2,FRACAL,0,,2,,0,,,,
D2,QUAGR,0,,1,,0,,,,
B1,FRACAL,1,,4,,0,,,,
B1,UMBCAL,0,,2,,0,,,,
A1,UMBCAL,0,,3,,0,,,,
A1,QUEGAR,0,,3,,0,,,,
A1,FRACAL,0,,1,,0,,,,
C2,UMBCAL,0,,4,,0,,,,
C2,FRACAL,0,,1,,0,,,,
A2,FRACAL,0,,6,,0,,,,
D3,UMBCAL,0,,3,,0,,,,
D3,FRACAL,0,,3,,0,,,,
C3,UMBCAL,1,,3,,0,,,,
C3,FRACAL,0,,5,,0,,,,
C3,QUEGAR,1,,2,,0,,,,
A3,QUEAGR,1,,3,,0,,,,
A3,UMBCAL,0,,3,,0,,,,
A3,FRACAL,1,,3,,0,,,,
B2,FRACAL,0,,1,,0,,,,
B2,QUEAGR,0,,2,,0,,,,
B2,UMBCAL,1,,0,,0,,,,
D4,UMBCAL,0,,6,,0,,,,
D4,FRACAL,0,,2,,0,,,,
C4,FRACAL,1,,3,,0,,,,
C4,UMBCAL,2,,2,,0,,,,
B4,UMBCAL,0,,7,,1,,,,
B4,HETARB,0,,1,,0,,,,
B4,FRACAL,0,,6,,0,,,,
B3,QUEAGR,0,,1,,0,,,,
B3,FRACAL,0,,3,,0,,,,
B3,UMBCAL,1,,4,,0,,,,
A4,UMBCAL,0,,5,,0,,,,
A4,FRACAL,0,,1,,0,,,,