Plot ID,PPW1320,Date,20180730,,Samplers,"MO,MK,AC,KO",,
Notes,"NEW HOBO NOT WORKING, POSSIBLE DEAD BATTERY, LIGHT IS NOT FLASHING",,,,,,,
Hobos downloaded? ,,Old Hobo:,YES,New Hobo:,NO,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,S,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S8, W10, N11, E1",B4SW-,"N18, E9, S3, W4",D2SW-,"W5, N16, S32, E3",,D4SW-,"WS, N21, E2, S8"
C3SW(center)- ,"S3, W15, N22, E12",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,24,1,20,30,25,100,
A2,0,24,1,20,35,20,100,
A3,0,29,1,35,20,15,100,
A4,0,20,1,25,24,25,100,
B1,0,30,0,25,20,25,100,
B2,0,35,0,25,25,15,100,
B3,0,23,1,34,20,22,100,
B4,0,15,3,15,42,25,100,
C1,0,25,0,15,35,25,100,
C2,0,35,0,20,20,25,100,
C3,0,30,0,15,30,25,100,
C4,0,15,0,35,35,15,100,
D1,0,20,0,20,40,20,100,
D2,0,20,1,35,30,15,100,
D3,0,24,1,30,30,20,100,
D4,0,20,4,31,30,15,100,