Plot ID,   PPW1348,,,,Sampler(s),MK MO MF CM,,,Date ,20210112
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEAGRI,,,1,,,,,,
C4,UMBCAL,,,1,,,,,,
C4,QUEAGRI,,,1,,,,,,
A4,UMBCAL,,,1,,,,,,
B4,UMBCAL,,,2,,,,,,
B4,QUEAGRI,,,1,,,,,,
B4,HETARB,,,1,,,,,,
A3,QUEAGRI,,,,,2,,,,
A3,UMBCAL,,,1,,,,,,
C3,QUEAGRI,,,1,,,,,,
A3,UMBCAL,,,1,,,,,,
B3,UMBCAL,,,4,,,,,,
A2,UMBCAL,,,1,,,,,,
B2,UMBCAL,,,2,,,,,,
C1,UMBCAL,,,,,1,,,,
C1,QUEAGRI,,,,,1,,,,
C1,HETARB,1,,,,,,,,
D2,UMBCAL,,,3,,,,,,
D2,QUEAGRI,,,5,,,,,,
D2,HETARB,,,1,,,,,,
C2,QUEAGRI,,,,,1,,,,
D1,QUEAGRI,,,,,2,,,,