Site,Species,Sample.number,Alternate.number,DBH,Height,Date,Predawn.mean,Midday.mean,Leaf.wet,Leaf.dry,Leaf.change,Stem.wet,Stem.dry,Stem.change,Bulk.wet,Bulk.dry,Bulk.change
ST,ADEFAS,10715,,,,20211009,-3.1,-4.38,NA,NA,NA,NA,NA,NA,15.5285,9.8014,5.7271
ST,ADEFAS,10717,,,,20211009,-1.62,-3.7,13.8928,7.9146,5.9782,5.6077,3.6938,1.9139,9.6396,5.768,3.8716
ST,ADEFAS,10720,,,,20211009,-1.7,-2.98,8.1862,4.8126,3.3736,4.5373,3.1406,1.3967,5.0025,3.0777,1.9248
ST,ADEFAS,10721,,,,20211009,-2.04,-3.25,6.9234,3.8388,3.0846,4.4573,2.8494,1.6079,5.2818,3.0687,2.2131
GH,ADEFAS,10729,,,,20211010,-1.8,-5.43,NA,NA,NA,NA,NA,NA,25.632,16.2308,9.4012
GH,ADEFAS,10730,,,,20211010,-2.35,-4.95,NA,NA,NA,NA,NA,NA,29.214,17.7918,11.4222
ST,ADEFAS,10993,,,,20211009,-3.37,-4.53,NA,NA,NA,NA,NA,NA,8.372,5.04,3.332
ST,ADEFAS,10996,,,,20211009,-2.48,-3.45,NA,NA,NA,NA,NA,NA,7.2052,4.3102,2.895
BOH,ARBMEN,10974,,38,,20211009,-0.65,-2,26.3736,11.6215,14.7521,3.206,1.36188,1.84412,NA,NA,NA
BOH,ARBMEN,10975,,58.1,,20211010,-1.64,-2.88,23.9963,11.1946,12.8017,2.711,1.26211,1.44889,NA,NA,NA
BOH,ARBMEN,10976,,53.9,,20211010,-2.05,-2.83,32.6404,15.231,17.4094,2.545,1.1512,1.3938,NA,NA,NA
BOH,ARBMEN,10977,,63,,20211010,-0.68,-1.98,37.3012,15.3715,21.9297,6.521,2.8846,3.6364,NA,NA,NA
DCP,ARBMEN,10985,,17,,20211009,-1.18,-2.63,33.533,14.6971,18.8359,8.725,3.9637,4.7613,NA,NA,NA
WTH,ARBMEN,10986,,30.1,,20211009,-4.98,-5.55,15.427,7.7491,7.6779,3.373,1.66185,1.71115,NA,NA,NA
RPH,BACPIL,12001,,,200,20201010,-1.8,-2.66,NA,NA,NA,NA,NA,NA,20.8525,9.4953,11.3572
BG,BACPIL,12002,,,120,20201010,-1.38,-2.3,NA,NA,NA,NA,NA,NA,19.95527,8.89977,11.0555
GH,BACPIL,12003,,,,20201010,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCP,BACPIL,12004,,,,20211009,NA,NA,NA,NA,NA,NA,NA,NA,10.5365,4.6253,5.9112
GH,CEACUN,10723,,,,20211010,-6.85,-7,16.549,10.25549,6.29351,9.755,6.5616,3.1934,NA,NA,NA
GH,CEACUN,10725,,,,20211010,-3.63,-6.1,NA,NA,NA,NA,NA,NA,36.183,21.9236,14.2594
GH,CEACUN,10726,,,,20211010,-3.58,NA,11.066,5.9401,5.1259,8.722,5.7161,3.0059,NA,NA,NA
GH,CEACUN,10727,,,,20211010,-3.23,NA,NA,NA,NA,NA,NA,NA,19.075,11.6615,7.4135
GH,CEACUN,10728,,,,20211010,-4.23,NA,NA,NA,NA,NA,NA,NA,14.747,8.6831,6.0639
GH,CEAPAR,10732,,,,20211010,-3.78,-4.3,9.205,5.1688,4.0362,9.134,5.7446,3.3894,NA,NA,NA
GH,CEACUN,10733,,,,20211010,-5.83,-6.1,14.62,8.6524,5.9676,9.374,6.15388,3.22012,NA,NA,NA
GH,CEAPAR,10724,,,,20211010,-2.95,-4.23,NA,NA,NA,NA,NA,NA,19.758,11.4443,8.3137
GH,CEAPAR,10731,,,,20211010,-2.66,-3.28,NA,NA,NA,NA,NA,NA,20.129,10.92113,9.20787
GH,CEAPAR,10734,,,,20211010,-2.88,-3.9,11.701,6.6767,5.0243,9.849,6.1598,3.6892,NA,NA,NA
GH,CEAPAR,10735,,,,20211010,-3.45,-3.57,NA,NA,NA,NA,NA,NA,16.788,9.18505,7.60295
GH,CEAPAR,10736,,,,20211010,-2.58,-3.43,NA,NA,NA,NA,NA,NA,17.812,10.2003,7.6117
ST,HETARB,10714,,,,20211009,-1.98,-3.53,75.4217,40.8567,34.565,17.256,8.9309,8.3251,NA,NA,NA
ST,HETARB,10716,,,,20211009,-2.37,-3.73,62.051,32.2676,29.7834,23.8827,12.4832,11.3995,NA,NA,NA
ST,HETARB,10718,,,,20211009,-1.85,-2.6,66.9583,34.9183,32.04,9.8113,5.0634,4.7479,NA,NA,NA
ST,HETARB,10719,,,,20211009,-1.35,-2.38,60.7199,30.9539,29.766,6.9879,3.422,3.5659,NA,NA,NA
ST,HETARB,10989,,,,20211009,-2.26,-3.49,23.4412,12.6724,10.7688,2.745,1.4137,1.3313,NA,NA,NA
ST,HETARB,10992,,,,20211009,-2.33,-3.08,55.3724,29.3784,25.994,5.6176,2.7938,2.8238,NA,NA,NA
OSM,PSEMEN,10965,5942,72.5,,20211009,-1.2,-2.3,33.685,14.46538,19.21962,6.319,2.86991,3.44909,NA,NA,NA
BOH,PSEMEN,10972,,31.3,,20211010,-1.61,-2.23,28.8888,12.6467,16.2421,7.06,3.57773,3.48227,NA,NA,NA
BOH,PSEMEN,10978,,63.2,,20211010,-1.12,-2.4,27.9408,12.5524,15.3884,5.411,2.6823,2.7287,NA,NA,NA
BOH,PSEMEN,10979,,23.7,,20211010,-0.75,-2.3,28.0587,12.7251,15.3336,6.523,3.0805,3.4425,NA,NA,NA
DCP,PSEMEN,10982,,45.2,,20211009,-1.2,-2.75,19.7477,8.5155,11.2322,4.367,2.1353,2.2317,NA,NA,NA
DCP,PSEMEN,10983,,35.3,,20211009,-1.65,-2.48,29.6304,13.6727,15.9577,7.578,3.84769,3.73031,NA,NA,NA
RPH,QUEAGRI,10722,7624,42.4,,20201010,-3,-3.6,19.3319,10.2204,9.1115,2.676,1.4654,1.2106,NA,NA,NA
WTH,QUEAGRI,10800,,89.8,,20211009,-2.03,-3.43,14.488,8.82976,5.65824,4.297,2.339,1.958,NA,NA,NA
WTH,QUEAGRI,10805,,73.4,,20211009,-1.97,-3.03,19.774,11.00651,8.76749,5.0268,2.8062,2.2206,NA,NA,NA
OSM,QUEAGRI,10959,5901,66.8,,20211009,-0.65,-1.78,18.0085,9.756,8.2525,3.032,1.5505,1.4815,NA,NA,NA
OSM,QUEAGRI,10960,5938,42.9,,20211009,-0.53,-1.65,19.801,10.45808,9.34292,2.0625,1.0593,1.0032,NA,NA,NA
RPH,QUEAGRI,10969,,79.9,,20201010,-2.35,-3.5,26.9122,14.9161,11.9961,6.741,3.7467,2.9943,NA,NA,NA
WTH,QUEDOU,10801,,50.9,,20211009,-2.5,-4.48,19.0726,13.3732,5.6994,3.85,2.4579,1.3921,NA,NA,NA
WTH,QUEDOU,10898,,58.6,,20211010,-1.45,-3.69,15.7788,8.387,7.3918,6.991,4.2635,2.7275,NA,NA,NA
RPH,QUEDOU,10966,545,62.2,,20201010,-3.7,-4.93,12.7783,7.1736,5.6047,7.097,4.5166,2.5804,NA,NA,NA
RPH,QUEDOU,10967,544,84.3,,20201010,-2.88,-5.86,13.6251,7.711,5.9141,2.811,0.8793,1.9317,NA,NA,NA
RPH,QUEDOU,10968,543,72.2,,20201010,-2.55,-4.7,15.9993,8.6682,7.3311,6.972,4.31028,2.66172,NA,NA,NA
RPH,QUEDOU,10971,546,46.5,,20201010,-4.48,-5.7,12.9138,7.4313,5.4825,9.01,5.7886,3.2214,NA,NA,NA
ST,QUEDUR,10713,,,,20211009,-1.35,-3,26.7163,15.9997,10.7166,13.6825,8.5907,5.0918,NA,NA,NA
ST,QUEDUR,10987,,,,20211009,-1.88,-3.58,8.6373,4.9041,3.7332,4.7244,2.8198,1.9046,NA,NA,NA
ST,QUEDUR,10988,,,,20211009,-1.95,-3.55,10.1492,5.8195,4.3297,2.9443,1.7644,1.1799,NA,NA,NA
ST,QUEDUR,10990,,,,20211009,-1.17,-2.55,7.8845,4.4747,3.4098,2.4278,1.46,0.9678,NA,NA,NA
ST,QUEDUR,10991,,,,20211009,-1.37,-3.23,25.9515,14.9731,10.9784,15.6967,10.0668,5.6299,NA,NA,NA
ST,QUEDUR,10995,,,,20211009,-1.13,-2.5,17.0105,9.6547,7.3558,5.992,3.5565,2.4355,NA,NA,NA
RPH,QUEGAR,10704,,57.6,,20201010,-3.13,-4.65,22.8074,12.8833,9.9241,4.883,3.0151,1.8679,NA,NA,NA
WTH,QUEGAR,10864,,33.8,,20211009,-4.28,-5.2,20.4938,11.1608,9.333,4.715,2.7801,1.9349,NA,NA,NA
WTH,QUEGAR,10865,,94.3,,20211009,-1.45,-3.23,19.0848,9.8739,9.2109,7.426,4.474,2.952,NA,NA,NA
RPH,QUEGAR,10970,,37.5,,20201010,-3.75,-5.4,24.0485,13.7899,10.2586,5.734,3.6577,2.0763,NA,NA,NA
BOH,QUEGAR,10980,,27,,20211009,-4.23,-4.63,21.004,11.6446,9.3594,4.294,2.716,1.578,NA,NA,NA
BOH,QUEGAR,10981,,66.5,,20211009,-3.87,-4.6,31.4971,16.6291,14.868,4.465,2.8742,1.5908,NA,NA,NA
WTH,QUEKEL,10803,,83.4,,20211009,-3.58,-4.47,16.953,8.53482,8.41818,3.4957,2.1476,1.3481,NA,NA,NA
WTH,QUEKEL,10806,,35.9,,20211009,-3.48,-4.48,13.0331,6.8162,6.2169,2.532,1.4805,1.0515,NA,NA,NA
BOH,QUEKEL,10894,,68.7,,20211010,-2.9,-3.28,27.0727,14.2597,12.813,3.585,2.0725,1.5125,NA,NA,NA
WTH,QUEKEL,10896,,72.5,,20211009,-3.68,-4.72,37.8991,20.1424,17.7567,6.496,3.9874,2.5086,NA,NA,NA
WTH,QUEKEL,10899,,80.2,,20211009,-3.63,-4.75,25.122,12.80553,12.31647,6.042,3.6138,2.4282,NA,NA,NA
BOH,QUEKEL,10973,,68.5,,20211010,-1.86,-2.63,25.8,13.5753,12.2247,4.527,2.7623,1.7647,NA,NA,NA
WTH,UMBCAL,10956,,8.6,,20211009,-1.08,-2.75,17.4041,8.2475,9.1566,2.2932,1.1328,1.1604,NA,NA,NA
OSM,UMBCAL,10961,5918,46.5,,20211009,-1.7,-2.35,23.289,11.6151,11.6739,3.225,1.5637,1.6613,NA,NA,NA
OSM,UMBCAL,10962,5919,35.9,,20211009,-1.75,-2.65,17.4195,8.9915,8.428,1.643,0.8955,0.7475,NA,NA,NA
OSM,UMBCAL,10963,5907,53.4,,20211009,-1.75,-2.52,20.31,9.5261,10.7839,3.744,1.8232,1.9208,NA,NA,NA
OSM,UMBCAL,10964,5927,52.2,,20211009,-1.58,-2.45,20.7355,9.5425,11.193,3.952,1.9759,1.9761,NA,NA,NA
DCP,UMBCAL,10984,,84.3,,20211009,-1.93,-2.93,14.203,6.81086,7.39214,2.432,1.16112,1.27088,NA,NA,NA